pid,averageWattConsumption,maxWattConsumtion,maxWattPositionIndex,totalProcessIstantFound,totalTime,joules
31213,14.484576533333334,16.026397,6,15,1.7363975048065186,25.15098255065905
31375,14.367159571428571,15.617719,9,14,1.6299781799316406,23.418156609024592
31530,14.170278133333333,15.259759,5,15,1.7437634468078613,24.7096130400074
31686,14.496130599999999,15.556968,6,15,1.7444965839385986,25.288450312027788
31854,14.545136928571429,15.671729,10,14,1.6196863651275635,23.55855996212055
32008,14.193382642857143,15.589875,2,14,1.659466028213501,23.553436321256587
32173,14.288697142857144,15.806873,6,14,1.6347153186798096,23.357952103405
32335,14.298687857142856,15.504963,12,14,1.6491844654083252,23.581173889722653
32485,14.438518384615383,15.728278,9,13,1.5055723190307617,21.73823360769367
32649,14.2008645,15.823274,9,14,1.6478543281555176,23.40095602987504
32803,14.405581642857143,15.788263,6,14,1.6459338665008545,23.71063469262159
32964,14.407239857142857,15.545819,10,14,1.6433689594268799,23.676410772246328
33125,14.345900357142856,15.503227,10,14,1.6533317565917969,23.718532637365886
33296,13.901402,15.761836,7,14,1.6683237552642822,23.192039188078404
33456,14.355252733333332,15.594301,11,15,1.7919654846191406,25.724117421117906
33605,14.36874192857143,15.71618,7,14,1.660949945449829,23.865761122443388
33773,14.265813866666667,15.414108,12,15,1.784827709197998,25.462019883487702
33931,14.282974285714285,15.646574,5,14,1.6642208099365234,23.770023034073965
34094,14.229999571428571,15.588969,5,14,1.6631765365600586,23.66700140245969
34254,14.324958285714285,15.484496,13,14,1.6485400199890137,23.615267018673215
