pid,consumption/0,consumption/1,consumption/2
23253,13030613,14477246,11106650
23628,12755832,12426881,14734621
23786,12125091,13881257,14297535
23959,13328337,13615922,10790657
24132,13131142,14748969,10215993
24294,13155485,12596928,12311703
24443,12107125,14991907,11125461
24605,11891994,14285684,14740938
24762,12539608,14912924,11844746
24925,12985208,13884959,
25088,12967063,11335762,
25240,11592759,13437122,11414502
25400,12875018,12898654,
25554,12931630,13637886,
25718,12489400,14576619,10285637
25872,13299721,,
26043,11450085,14531513,
26200,10123406,13275694,
26367,12699316,13184491,10629754
26522,9468310,14197380,14067081
