pid,consumption/0,consumption/1,consumption/2,consumption/3,consumption/4,consumption/5,consumption/6,consumption/7,consumption/8,consumption/9,consumption/10,consumption/11,consumption/12,consumption/13,consumption/14,consumption/15,consumption/16,consumption/17,consumption/18,consumption/19
34784,11481864,12076340,13754727,13197007,13974540,15119358,14672161,15000289,14673123,14790931,14702453,14148078,14675191,14729475,14762010,13799837,12825553,11095642,,
34957,12340132,13007675,13382858,14225640,14382587,15111711,14976434,14101077,14851135,14267420,14723490,13563063,15228200,13282894,15464919,14690192,13898626,12572220,,
35121,11922412,12620525,14229284,13716745,14102186,15596217,14855752,14618601,14837039,14991276,14557414,14504453,14978930,14791056,14448087,14366636,11583247,11332327,,
35291,12366343,12862670,13772812,13876632,14425471,15056353,15502643,14482156,14324490,14595519,14838542,14684635,14233167,13581196,15161224,14653142,13358343,13769887,,
35460,13042884,12162746,13268136,13549450,14954404,15463145,14926485,14682346,14397362,14982643,14476629,14780134,14831228,11813115,13725045,10994961,,,,
35621,11015790,13374596,13908543,14026610,14619028,15040307,15288754,14096392,14604931,14388628,14864868,15214316,14214561,14484592,15100769,11762496,10766212,,,
35772,11578446,12190575,13009220,13139593,13836360,14304784,15684107,14677330,14362648,14897495,14076730,15214312,14605935,14834682,14551839,12063709,11903395,,,
35938,9807707,11351232,11866194,14150622,14652175,14966277,14618599,14925754,15137113,14366511,14515295,15045307,14837468,14198590,13985325,11326460,11097363,,,
36104,11870521,12126214,12467910,12221004,14193927,14290090,14872267,14770150,14986055,14038617,14178633,14448893,14502646,14736566,13878358,14948719,15059786,13985660,10537459,
36259,12464268,12558338,13145018,13280943,14219012,14734839,15351710,14225666,15108796,14795077,14861739,14698082,13884458,14512387,14320787,14191119,15264965,15190026,14398814,14685580
36413,9267203,12694656,11787937,13886406,14352261,14605760,15490894,14454945,14692435,14894782,14062198,15953403,14774256,14546237,14507636,12936005,11152638,,,
36580,14244512,13400632,12532952,14076209,15332084,15027157,14277579,15082699,14150558,15130144,14067597,14956016,14858061,14008078,14213847,14932689,14203891,12695533,,
36738,11798913,11666727,14662613,12132335,13682628,14920799,15125037,14988838,13693343,14983325,14807103,14624680,14884400,14081619,14821129,15189382,11739082,,,
37039,12225084,11230475,13505663,11680832,14398311,14604581,14609012,15350146,14468931,14535218,14072536,14466206,14660196,14341302,13667487,14112547,15635494,14473313,13178389,14317716
37206,11567585,12625416,13369229,13591711,13214002,15024916,15136389,14981539,14392199,14441330,14186891,15513845,14753078,14429021,11879883,11404098,,,,
37368,11179866,12233091,13789941,13193872,14043971,15392902,15387058,13688962,14958537,15161915,14543374,14042609,14973040,14054140,15111190,11172071,12283183,,,
37523,11831614,12241391,13239154,12881989,14570474,15351429,14971447,14819954,14201081,14836463,14431816,14951344,14385925,15299968,14457313,14355837,12514012,,,
37676,12984699,12935385,13550798,12298854,14193777,15275264,15032844,14628307,14870153,14696310,14504749,14174605,14467357,14336920,10572382,12623838,,,,
37832,11083500,11688363,12660568,14172109,14677301,15171305,14964126,14252729,15144541,14162881,13745853,14561177,14254139,14194961,15243478,14576138,13280823,9517600,,
37996,12489629,13801088,12471309,13821242,14523978,14940303,15398566,14741131,14909026,14057069,14476109,15311133,14151227,14821674,13530502,10564526,12850975,,,
